Metadata_Class,Metadata_Key
NegCtrl,59949064
NegCtrl,59949424
NegCtrl,59949799
NegCtrl,59950159
NegCtrl,59950174
NegCtrl,59950189
NegCtrl,59950204
NegCtrl,59950219
NegCtrl,59950650
NegCtrl,59951010
NegCtrl,59951385
NegCtrl,59951760
NegCtrl,59952236
NegCtrl,59952596
NegCtrl,59952971
NegCtrl,59953346
NegCtrl,59954830
NegCtrl,81514744
NegCtrl,81515119
NegCtrl,81516330
NegCtrl,81516705
NegCtrl,81517080
NegCtrl,81517380
NegCtrl,81517961
NegCtrl,81518291
NegCtrl,81518666
NegCtrl,81518966
NegCtrl,81519862
NegCtrl,81520222
NegCtrl,81520567
PosCtrl,03045800
PosCtrl,03046175
PosCtrl,03046550
PosCtrl,03047386
PosCtrl,03047791
PosCtrl,03048136
PosCtrl,03048481
PosCtrl,03048970
PosCtrl,03049345
PosCtrl,03049735
PosCtrl,03050065
PosCtrl,03122349
PosCtrl,24946149
PosCtrl,59623947
PosCtrl,66103854
PosCtrl,66104274
PosCtrl,66104649
PosCtrl,66193780
PosCtrl,66194140
PosCtrl,66194530
PosCtrl,66194755
PosCtrl,66195344
PosCtrl,66195719
PosCtrl,66196094
PosCtrl,66196364
PosCtrl,69138679
PosCtrl,69139054
PosCtrl,69139429
PosCtrl,69141194
PosCtrl,81356677
