Metadata_Class,Metadata_Key
NegCtrl,59948974
NegCtrl,59949334
NegCtrl,59949679
NegCtrl,59949694
NegCtrl,59949709
NegCtrl,59949724
NegCtrl,59950099
NegCtrl,59950114
NegCtrl,59950560
NegCtrl,59950920
NegCtrl,59951295
NegCtrl,59951670
NegCtrl,59952131
NegCtrl,59952506
NegCtrl,59952881
NegCtrl,59953256
NegCtrl,59954740
NegCtrl,81514654
NegCtrl,81515029
NegCtrl,81516240
NegCtrl,81516615
NegCtrl,81516990
NegCtrl,81517290
NegCtrl,81517826
NegCtrl,81518201
NegCtrl,81518576
NegCtrl,81518876
NegCtrl,81519757
NegCtrl,81520132
NegCtrl,81520432
PosCtrl,03045710
PosCtrl,03046085
PosCtrl,03046460
PosCtrl,03047296
PosCtrl,03047671
PosCtrl,03048046
PosCtrl,03048391
PosCtrl,03048880
PosCtrl,03049255
PosCtrl,03049630
PosCtrl,03049975
PosCtrl,03119942
PosCtrl,24946053
PosCtrl,59623857
PosCtrl,66103809
PosCtrl,66104184
PosCtrl,66104559
PosCtrl,66193675
PosCtrl,66194050
PosCtrl,66194425
PosCtrl,66194695
PosCtrl,66195254
PosCtrl,66195629
PosCtrl,66196004
PosCtrl,66196274
PosCtrl,69138589
PosCtrl,69138964
PosCtrl,69139339
PosCtrl,69141104
PosCtrl,81356587
