Metadata_Class,Metadata_Key
NegCtrl,59948914
NegCtrl,59948929
NegCtrl,59949274
NegCtrl,59949289
NegCtrl,59949649
NegCtrl,59949664
NegCtrl,59950024
NegCtrl,59950500
NegCtrl,59950860
NegCtrl,59951235
NegCtrl,59951610
NegCtrl,59951625
NegCtrl,59952086
NegCtrl,59952446
NegCtrl,59952821
NegCtrl,59953196
NegCtrl,59954680
NegCtrl,81514594
NegCtrl,81514969
NegCtrl,81516180
NegCtrl,81516555
NegCtrl,81516930
NegCtrl,81517230
NegCtrl,81517766
NegCtrl,81518141
NegCtrl,81518516
NegCtrl,81518816
NegCtrl,81519697
NegCtrl,81520072
NegCtrl,81520372
PosCtrl,03045650
PosCtrl,03046025
PosCtrl,03046400
PosCtrl,03047221
PosCtrl,03047611
PosCtrl,03047986
PosCtrl,03048331
PosCtrl,03048820
PosCtrl,03049195
PosCtrl,03049570
PosCtrl,03049915
PosCtrl,03119894
PosCtrl,24945989
PosCtrl,59623797
PosCtrl,66103749
PosCtrl,66104124
PosCtrl,66104499
PosCtrl,66191909
PosCtrl,66193495
PosCtrl,66193615
PosCtrl,66193975
PosCtrl,66194350
PosCtrl,66195194
PosCtrl,66195569
PosCtrl,66195944
PosCtrl,69138529
PosCtrl,69138904
PosCtrl,69139279
PosCtrl,69141044
PosCtrl,81356527
