Metadata_Class,Metadata_Key
NegCtrl,59948854
NegCtrl,59949214
NegCtrl,59949574
NegCtrl,59949964
NegCtrl,59949979
NegCtrl,59949994
NegCtrl,59950009
NegCtrl,59950024
NegCtrl,59950440
NegCtrl,59950800
NegCtrl,59951175
NegCtrl,59951550
NegCtrl,59952026
NegCtrl,59952386
NegCtrl,59952761
NegCtrl,59953136
NegCtrl,59954620
NegCtrl,81514459
NegCtrl,81514534
NegCtrl,81514909
NegCtrl,81516045
NegCtrl,81516120
NegCtrl,81516495
NegCtrl,81516870
NegCtrl,81517616
NegCtrl,81517706
NegCtrl,81518081
NegCtrl,81518456
NegCtrl,81519637
NegCtrl,81520012
PosCtrl,03045560
PosCtrl,03045590
PosCtrl,03045965
PosCtrl,03046340
PosCtrl,03047146
PosCtrl,03047176
PosCtrl,03047551
PosCtrl,03047926
PosCtrl,03048760
PosCtrl,03049135
PosCtrl,03049510
PosCtrl,03119846
PosCtrl,24945925
PosCtrl,59623737
PosCtrl,66103689
PosCtrl,66104064
PosCtrl,66104439
PosCtrl,66191864
PosCtrl,66193450
PosCtrl,66193555
PosCtrl,66193930
PosCtrl,66194305
PosCtrl,66195134
PosCtrl,66195509
PosCtrl,66195884
PosCtrl,69138469
PosCtrl,69138844
PosCtrl,69139219
PosCtrl,69140984
PosCtrl,81356467
