Metadata_Class,Metadata_Key
NegCtrl,59949034
NegCtrl,59949379
NegCtrl,59949739
NegCtrl,59949754
NegCtrl,59949769
NegCtrl,59949784
NegCtrl,59950159
NegCtrl,59950174
NegCtrl,59950605
NegCtrl,59950980
NegCtrl,59951355
NegCtrl,59951730
NegCtrl,59952206
NegCtrl,59952566
NegCtrl,59952941
NegCtrl,59953316
NegCtrl,59954800
NegCtrl,81514714
NegCtrl,81515074
NegCtrl,81516300
NegCtrl,81516675
NegCtrl,81517050
NegCtrl,81517350
NegCtrl,81517886
NegCtrl,81518246
NegCtrl,81518636
NegCtrl,81518936
NegCtrl,81519817
NegCtrl,81520177
NegCtrl,81520492
PosCtrl,03045770
PosCtrl,03046145
PosCtrl,03046520
PosCtrl,03047356
PosCtrl,03047731
PosCtrl,03048106
PosCtrl,03048451
PosCtrl,03048940
PosCtrl,03049330
PosCtrl,03049690
PosCtrl,03050035
PosCtrl,03119990
PosCtrl,24946117
PosCtrl,59623917
PosCtrl,66103869
PosCtrl,66104244
PosCtrl,66104619
PosCtrl,66193735
PosCtrl,66194110
PosCtrl,66194485
PosCtrl,66194755
PosCtrl,66195299
PosCtrl,66195689
PosCtrl,66196064
PosCtrl,66196334
PosCtrl,69138649
PosCtrl,69139024
PosCtrl,69139414
PosCtrl,69141164
PosCtrl,81356647
