Metadata_Class,Metadata_Key
NegCtrl,59948839
NegCtrl,59949199
NegCtrl,59949574
NegCtrl,59949949
NegCtrl,59950425
NegCtrl,59950785
NegCtrl,59951160
NegCtrl,59951535
NegCtrl,59952011
NegCtrl,59952371
NegCtrl,59952746
NegCtrl,59953121
NegCtrl,59954605
NegCtrl,81514444
NegCtrl,81514519
NegCtrl,81514894
NegCtrl,81516030
NegCtrl,81516105
NegCtrl,81516480
NegCtrl,81516855
NegCtrl,81517616
NegCtrl,81517691
NegCtrl,81518066
NegCtrl,81518081
NegCtrl,81518441
NegCtrl,81518456
NegCtrl,81519622
NegCtrl,81519637
NegCtrl,81519997
NegCtrl,81520012
PosCtrl,03045545
PosCtrl,03045575
PosCtrl,03045950
PosCtrl,03046325
PosCtrl,03047131
PosCtrl,03047161
PosCtrl,03047536
PosCtrl,03047911
PosCtrl,03048745
PosCtrl,03049120
PosCtrl,03049495
PosCtrl,03119834
PosCtrl,24945909
PosCtrl,59623722
PosCtrl,66103674
PosCtrl,66104049
PosCtrl,66104424
PosCtrl,66191849
PosCtrl,66193435
PosCtrl,66193540
PosCtrl,66193915
PosCtrl,66194290
PosCtrl,66195119
PosCtrl,66195494
PosCtrl,66195869
PosCtrl,69138454
PosCtrl,69138829
PosCtrl,69139204
PosCtrl,69140969
PosCtrl,81356452
