Metadata_Class,Metadata_Key
NegCtrl,59949559
NegCtrl,59949934
NegCtrl,59950249
NegCtrl,59950264
NegCtrl,59950279
NegCtrl,59950294
NegCtrl,59950309
NegCtrl,59951145
NegCtrl,59951520
NegCtrl,59951895
NegCtrl,59951910
NegCtrl,59952731
NegCtrl,59953106
NegCtrl,59953481
NegCtrl,59953496
NegCtrl,59954965
NegCtrl,59954980
NegCtrl,81514879
NegCtrl,81515254
NegCtrl,81516465
NegCtrl,81516840
NegCtrl,81517215
NegCtrl,81517515
NegCtrl,81518051
NegCtrl,81518426
NegCtrl,81518801
NegCtrl,81519101
NegCtrl,81519982
NegCtrl,81520357
NegCtrl,81520657
PosCtrl,03045935
PosCtrl,03046310
PosCtrl,03046685
PosCtrl,03047521
PosCtrl,03047896
PosCtrl,03048271
PosCtrl,03048616
PosCtrl,03049105
PosCtrl,03049480
PosCtrl,03049855
PosCtrl,03050200
PosCtrl,03122457
PosCtrl,24946293
PosCtrl,59624082
PosCtrl,66104034
PosCtrl,66104379
PosCtrl,66104784
PosCtrl,66193900
PosCtrl,66194275
PosCtrl,66194650
PosCtrl,66194920
PosCtrl,66195479
PosCtrl,66195854
PosCtrl,66196229
PosCtrl,66196499
PosCtrl,69138814
PosCtrl,69139189
PosCtrl,69139564
PosCtrl,69141329
PosCtrl,81359640
