Metadata_Class,Metadata_Key
NegCtrl,59949004
NegCtrl,59949349
NegCtrl,59949739
NegCtrl,59949754
NegCtrl,59949769
NegCtrl,59949784
NegCtrl,59950129
NegCtrl,59950144
NegCtrl,59950575
NegCtrl,59950950
NegCtrl,59951325
NegCtrl,59951700
NegCtrl,59952176
NegCtrl,59952536
NegCtrl,59952911
NegCtrl,59953286
NegCtrl,59954770
NegCtrl,81514684
NegCtrl,81515044
NegCtrl,81516270
NegCtrl,81516645
NegCtrl,81517020
NegCtrl,81517320
NegCtrl,81517856
NegCtrl,81518216
NegCtrl,81518606
NegCtrl,81518906
NegCtrl,81519787
NegCtrl,81520147
NegCtrl,81520462
PosCtrl,03045740
PosCtrl,03046115
PosCtrl,03046490
PosCtrl,03047326
PosCtrl,03047701
PosCtrl,03048076
PosCtrl,03048421
PosCtrl,03048910
PosCtrl,03049300
PosCtrl,03049660
PosCtrl,03050005
PosCtrl,03119966
PosCtrl,24946085
PosCtrl,59623887
PosCtrl,66103839
PosCtrl,66104214
PosCtrl,66104589
PosCtrl,66193705
PosCtrl,66194080
PosCtrl,66194455
PosCtrl,66194725
PosCtrl,66195269
PosCtrl,66195659
PosCtrl,66196034
PosCtrl,66196304
PosCtrl,69138619
PosCtrl,69138994
PosCtrl,69139384
PosCtrl,69141134
PosCtrl,81356617
